Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description	X.SampleID
CZ-MB26	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB26	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB26	captive_gorilla	cp.gor.COMZ.MB26.16s
CZ-MB31	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB31	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB31	captive_orangutan	cp.ora.COMZ.MB31.16s
CZ-MB7	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB7	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB7	captive_orangutan	cp.ora.COMZ.MB7.16s
CZ-MB82	clayton_2016	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	MB82	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.gor.COMZ.MB82	captive_gorilla	cp.gor.COMZ.MB82.16s
CZ-MB84	clayton_2016	Pongo_abelii	Pongo_abelii	sumatran_orangutan	MB84	como_zoo	COMZ	USA	USA_ComoZoo	captive	captive	16s	cp.ora.COMZ.MB84	captive_orangutan	cp.ora.COMZ.MB84.16s
1	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	1	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.1	wild_chimp	wd.chi.GM.1.16s
10	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	10	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.10	wild_chimp	wd.chi.GM.10.16s
100	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	100	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.100	wild_chimp	wd.chi.GM.100.16s
101	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	101	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.101	wild_chimp	wd.chi.GM.101.16s
102	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	102	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.102	wild_chimp	wd.chi.GM.102.16s
103	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	103	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.103	wild_chimp	wd.chi.GM.103.16s
104	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	104	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.104	wild_chimp	wd.chi.GM.104.16s
105	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	105	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.105	wild_chimp	wd.chi.GM.105.16s
106	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	106	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.106	wild_chimp	wd.chi.GM.106.16s
107	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	107	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.107	wild_chimp	wd.chi.GM.107.16s
108	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	108	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.108	wild_chimp	wd.chi.GM.108.16s
109	moeller_2014	Pan_troglodytes	Pan_troglodytes_schweinfurthii	eastern_chimpanzee	109	gombe	GM	Tanzania	Tanzania	wild	wild	16s	wd.chi.GM.109	wild_chimp	wd.chi.GM.109.16s
