SampleID	dataset	Description_country_zoo	captivity_status	Description	Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	PD	SR
we.hum.UMN.CS307.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	136	136.142857142857	0.486823423034544	136.850564338467	4.2085458351627	3.9894805841738	0.965025469886726	28.5922354570952	13.794441854	136
we.hum.UMN.CS312.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	120	120	0.165970769403218	120.257436835337	4.21504117682156	4.02613814722452	0.969822012615882	33.136735968227	13.187875817	120
we.hum.UMN.CS330.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	105	105	0	105	3.13809162511534	3.76421730355218	0.950760105390224	20.3087355877783	10.833729762	105
we.hum.UMN.CS344.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	109	109.333333333333	0.925320488600847	109.598861934711	3.99421369365609	3.96758038809309	0.969928464780676	33.2540388346181	12.138386376	109
we.hum.UMN.CS3470.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	88	88.2	0.621085291063563	88.8683442292669	3.48490021361879	3.65883348323445	0.952589926960431	21.0925640035483	10.648285967	88
we.hum.UMN.CS348.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	110	110.5	1.29707729232396	110.383308982487	4.72209714533242	3.87315117789088	0.968418853546126	31.6644616261969	13.110597817	110
we.hum.UMN.CS359.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	59	59.5	1.29539423284473	60.2085630987089	3.01506666546834	3.36157235249283	0.953827222397933	21.6577830473691	7.08157638	59
we.hum.UMN.CS363.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	101	101	0	101	3.66951584472032	3.88263493765971	0.965609616460853	29.0778961177235	11.610552549	101
we.hum.UMN.CS364.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	73	73.3333333333333	0.924841115362213	73.6136753984554	3.48855971638692	3.38706795240092	0.945826014788372	18.4590444305242	8.772492837	73
we.hum.UMN.CS372.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	105	105	0	105	3.77460183961422	3.89298181066428	0.966178652030053	29.5671243171204	10.423904204	105
we.hum.UMN.CS373.16s	vangay_2018	industrialized_human_USA	industrialized human	industrialized_human	112	112.5	1.29711217710728	112.52265722099	4.47604166792346	3.46105796251978	0.920697704286887	12.6099754238848	14.140382965	112
