comparison	Genus	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
cp_wd.kruskal	Faecalibacterium	captive_ape	wild_ape	77	377	0.0231	0.005	1	134.7	0	0
bonobo.kruskal	Faecalibacterium	captive_bonobo	wild_bonobo	9	69	0.0306	0.0082	1	17.4	0	0.024
chimp.kruskal	Faecalibacterium	captive_chimp	wild_chimp	25	132	0.0197	0.0093	1	25.7	0	0
gorilla.kruskal	Faecalibacterium	captive_gorilla	wild_gorilla	21	176	0.0224	6e-04	1	70.3	0	0
cp_wd.kruskal	Succinivibrio	captive_ape	wild_ape	77	377	0.0083	8e-04	1	108.1	0	0
bonobo.kruskal	Succinivibrio	captive_bonobo	wild_bonobo	9	69	0.0034	0.0021	1	1.4	0.243	1
chimp.kruskal	Succinivibrio	captive_chimp	wild_chimp	25	132	0.0146	0.0011	1	49	0	0
gorilla.kruskal	Succinivibrio	captive_gorilla	wild_gorilla	21	176	0.0072	0	1	150.3	0	0
cp_wd.kruskal	Blautia	captive_ape	wild_ape	77	377	0.009	0.0126	1	0.6	0.45	1
bonobo.kruskal	Blautia	captive_bonobo	wild_bonobo	9	69	0.0037	0.0146	1	10.1	0.001	1
chimp.kruskal	Blautia	captive_chimp	wild_chimp	25	132	0.0128	0.017	1	0.1	0.757	1
gorilla.kruskal	Blautia	captive_gorilla	wild_gorilla	21	176	0.0046	0.0084	1	0.5	0.459	1
cp_wd.kruskal	Rikenellaceae_RC9_gut_group	captive_ape	wild_ape	77	377	0.0224	0.0246	1	3.2	0.074	1
bonobo.kruskal	Rikenellaceae_RC9_gut_group	captive_bonobo	wild_bonobo	9	69	0.0155	0.0064	1	11.4	0.001	0.585
chimp.kruskal	Rikenellaceae_RC9_gut_group	captive_chimp	wild_chimp	25	132	0.0093	0.0339	1	16.8	0	0.034
gorilla.kruskal	Rikenellaceae_RC9_gut_group	captive_gorilla	wild_gorilla	21	176	0.0256	0.0248	1	4.3	0.038	1
cp_wd.kruskal	Ruminococcus_2	captive_ape	wild_ape	77	377	0.0088	0.0018	1	10.2	0.001	1
bonobo.kruskal	Ruminococcus_2	captive_bonobo	wild_bonobo	9	69	0.0019	0.0047	1	0.4	0.51	1
chimp.kruskal	Ruminococcus_2	captive_chimp	wild_chimp	25	132	9e-04	0.0026	1	2.4	0.122	1
gorilla.kruskal	Ruminococcus_2	captive_gorilla	wild_gorilla	21	176	0.0296	0	1	106.3	0	0
cp_wd.kruskal	Fusobacterium	captive_ape	wild_ape	77	377	0	0	1	0.4	0.522	1
bonobo.kruskal	Fusobacterium	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Fusobacterium	captive_chimp	wild_chimp	25	132	0	0	1	0.4	0.537	1
gorilla.kruskal	Fusobacterium	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Prevotella_7	captive_ape	wild_ape	77	377	0.014	0.0299	1	10.5	0.001	0.949
bonobo.kruskal	Prevotella_7	captive_bonobo	wild_bonobo	9	69	0.0107	0.0408	1	12.8	0	0.283
chimp.kruskal	Prevotella_7	captive_chimp	wild_chimp	25	132	0.0111	0.0321	1	7.6	0.006	1
gorilla.kruskal	Prevotella_7	captive_gorilla	wild_gorilla	21	176	0.0174	0.024	1	0.1	0.74	1
cp_wd.kruskal	Anaerostipes	captive_ape	wild_ape	77	377	0.002	0.0067	1	7.5	0.006	1
bonobo.kruskal	Anaerostipes	captive_bonobo	wild_bonobo	9	69	0.006	0.0064	1	1.5	0.214	1
chimp.kruskal	Anaerostipes	captive_chimp	wild_chimp	25	132	0.0015	0.0051	1	3.7	0.056	1
gorilla.kruskal	Anaerostipes	captive_gorilla	wild_gorilla	21	176	0.0022	0.0081	1	0	0.903	1
cp_wd.kruskal	Cerasicoccus	captive_ape	wild_ape	77	377	0.0094	0.005	1	11.7	0.001	0.515
bonobo.kruskal	Cerasicoccus	captive_bonobo	wild_bonobo	9	69	0.022	0.0115	1	9	0.003	1
chimp.kruskal	Cerasicoccus	captive_chimp	wild_chimp	25	132	0.003	0.0083	1	13.8	0	0.16
gorilla.kruskal	Cerasicoccus	captive_gorilla	wild_gorilla	21	176	0.0038	1e-04	1	45.8	0	0
cp_wd.kruskal	Alistipes	captive_ape	wild_ape	77	377	0	0	1	1	0.31	1
bonobo.kruskal	Alistipes	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Alistipes	captive_chimp	wild_chimp	25	132	0	1e-04	1	0.6	0.448	1
gorilla.kruskal	Alistipes	captive_gorilla	wild_gorilla	21	176	0	0	1	0.2	0.624	1
cp_wd.kruskal	Flavobacterium	captive_ape	wild_ape	77	377	0	0.0091	1	34.7	0	0
bonobo.kruskal	Flavobacterium	captive_bonobo	wild_bonobo	9	69	0	0.0014	1	2.9	0.086	1
chimp.kruskal	Flavobacterium	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Flavobacterium	captive_gorilla	wild_gorilla	21	176	0	0.0189	1	23.2	0	0.001
cp_wd.kruskal	Christensenellaceae_R-7_group	captive_ape	wild_ape	77	377	0.016	0.0137	1	12.7	0	0.293
bonobo.kruskal	Christensenellaceae_R-7_group	captive_bonobo	wild_bonobo	9	69	0.0166	0.0084	1	10.7	0.001	0.868
chimp.kruskal	Christensenellaceae_R-7_group	captive_chimp	wild_chimp	25	132	0.011	0.0179	1	2	0.161	1
gorilla.kruskal	Christensenellaceae_R-7_group	captive_gorilla	wild_gorilla	21	176	0.0176	0.0126	1	7.2	0.007	1
cp_wd.kruskal	Kurthia	captive_ape	wild_ape	77	377	0	0.0134	1	40.4	0	0
bonobo.kruskal	Kurthia	captive_bonobo	wild_bonobo	9	69	0	0.0012	1	4.8	0.029	1
chimp.kruskal	Kurthia	captive_chimp	wild_chimp	25	132	1e-04	0	1	5.7	0.016	1
gorilla.kruskal	Kurthia	captive_gorilla	wild_gorilla	21	176	0	0.0282	1	30.5	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-001	captive_ape	wild_ape	77	377	5e-04	2e-04	1	2.7	0.103	1
bonobo.kruskal	Ruminococcaceae_UCG-001	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Ruminococcaceae_UCG-001	captive_chimp	wild_chimp	25	132	0	5e-04	1	2.9	0.089	1
gorilla.kruskal	Ruminococcaceae_UCG-001	captive_gorilla	wild_gorilla	21	176	0.0017	0	1	34	0	0
cp_wd.kruskal	Aerococcus	captive_ape	wild_ape	77	377	0	0.0022	1	10.1	0.001	1
bonobo.kruskal	Aerococcus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Aerococcus	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Aerococcus	captive_gorilla	wild_gorilla	21	176	0	0.0047	1	6.6	0.01	1
cp_wd.kruskal	Agathobacter	captive_ape	wild_ape	77	377	0.0057	0.0022	1	28.4	0	0
bonobo.kruskal	Agathobacter	captive_bonobo	wild_bonobo	9	69	0.0033	0.0062	1	1.6	0.208	1
chimp.kruskal	Agathobacter	captive_chimp	wild_chimp	25	132	0.0061	0.0021	1	17.9	0	0.019
gorilla.kruskal	Agathobacter	captive_gorilla	wild_gorilla	21	176	0.0076	8e-04	1	31.1	0	0
cp_wd.kruskal	Pediococcus	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Pediococcus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Pediococcus	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Pediococcus	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Ruminococcus_1	captive_ape	wild_ape	77	377	0.0278	0.0034	1	153.8	0	0
bonobo.kruskal	Ruminococcus_1	captive_bonobo	wild_bonobo	9	69	0.0294	0.0023	1	23.7	0	0.001
chimp.kruskal	Ruminococcus_1	captive_chimp	wild_chimp	25	132	0.0207	0.0066	1	28.5	0	0
gorilla.kruskal	Ruminococcus_1	captive_gorilla	wild_gorilla	21	176	0.0192	0.0016	1	59.3	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-014	captive_ape	wild_ape	77	377	0.0266	0.0046	1	120.6	0	0
bonobo.kruskal	Ruminococcaceae_UCG-014	captive_bonobo	wild_bonobo	9	69	0.0266	0.0043	1	21.7	0	0.003
chimp.kruskal	Ruminococcaceae_UCG-014	captive_chimp	wild_chimp	25	132	0.0155	0.0051	1	25.8	0	0
gorilla.kruskal	Ruminococcaceae_UCG-014	captive_gorilla	wild_gorilla	21	176	0.0282	0.0043	1	44.4	0	0
cp_wd.kruskal	DNF00809	captive_ape	wild_ape	77	377	0	0.0038	1	48.6	0	0
bonobo.kruskal	DNF00809	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	DNF00809	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	DNF00809	captive_gorilla	wild_gorilla	21	176	0	0.0082	1	48.3	0	0
cp_wd.kruskal	Mogibacterium	captive_ape	wild_ape	77	377	3e-04	0.0093	1	147.8	0	0
bonobo.kruskal	Mogibacterium	captive_bonobo	wild_bonobo	9	69	1e-04	0.005	1	20.4	0	0.005
chimp.kruskal	Mogibacterium	captive_chimp	wild_chimp	25	132	3e-04	0.0073	1	42.1	0	0
gorilla.kruskal	Mogibacterium	captive_gorilla	wild_gorilla	21	176	1e-04	0.0126	1	53	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-002	captive_ape	wild_ape	77	377	0.0212	0.0051	1	114.5	0	0
bonobo.kruskal	Ruminococcaceae_UCG-002	captive_bonobo	wild_bonobo	9	69	0.0161	0.0084	1	6.2	0.013	1
chimp.kruskal	Ruminococcaceae_UCG-002	captive_chimp	wild_chimp	25	132	0.0129	0.0096	1	8.2	0.004	1
gorilla.kruskal	Ruminococcaceae_UCG-002	captive_gorilla	wild_gorilla	21	176	0.0178	4e-04	1	71.8	0	0
cp_wd.kruskal	Streptococcus	captive_ape	wild_ape	77	377	0.0127	0.0016	1	4.2	0.04	1
bonobo.kruskal	Streptococcus	captive_bonobo	wild_bonobo	9	69	0	3e-04	1	1.1	0.285	1
chimp.kruskal	Streptococcus	captive_chimp	wild_chimp	25	132	0.039	8e-04	1	22.5	0	0.002
gorilla.kruskal	Streptococcus	captive_gorilla	wild_gorilla	21	176	0	0.0028	1	24	0	0.001
cp_wd.kruskal	Enterococcus	captive_ape	wild_ape	77	377	1e-04	2e-04	1	0.2	0.667	1
bonobo.kruskal	Enterococcus	captive_bonobo	wild_bonobo	9	69	0	1e-04	1	0.4	0.526	1
chimp.kruskal	Enterococcus	captive_chimp	wild_chimp	25	132	0	0	1	2.2	0.136	1
gorilla.kruskal	Enterococcus	captive_gorilla	wild_gorilla	21	176	0	3e-04	1	2.2	0.138	1
cp_wd.kruskal	Lachnospiraceae_NK3A20_group	captive_ape	wild_ape	77	377	0.0036	0.0124	1	40.7	0	0
bonobo.kruskal	Lachnospiraceae_NK3A20_group	captive_bonobo	wild_bonobo	9	69	0.001	0.0265	1	22.2	0	0.002
chimp.kruskal	Lachnospiraceae_NK3A20_group	captive_chimp	wild_chimp	25	132	0.0018	0.0082	1	9.3	0.002	1
gorilla.kruskal	Lachnospiraceae_NK3A20_group	captive_gorilla	wild_gorilla	21	176	0.0038	0.01	1	10.3	0.001	1
cp_wd.kruskal	Saccharofermentans	captive_ape	wild_ape	77	377	0.0059	0	1	190.6	0	0
bonobo.kruskal	Saccharofermentans	captive_bonobo	wild_bonobo	9	69	0.0022	0	1	40.4	0	0
chimp.kruskal	Saccharofermentans	captive_chimp	wild_chimp	25	132	0.0058	0	1	86.7	0	0
gorilla.kruskal	Saccharofermentans	captive_gorilla	wild_gorilla	21	176	0.0139	0	1	144.9	0	0
cp_wd.kruskal	Lactococcus	captive_ape	wild_ape	77	377	0	3e-04	1	19.1	0	0.01
bonobo.kruskal	Lactococcus	captive_bonobo	wild_bonobo	9	69	0	6e-04	1	2.5	0.11	1
chimp.kruskal	Lactococcus	captive_chimp	wild_chimp	25	132	0	1e-04	1	3.9	0.048	1
gorilla.kruskal	Lactococcus	captive_gorilla	wild_gorilla	21	176	0	3e-04	1	6.4	0.011	1
cp_wd.kruskal	Dialister	captive_ape	wild_ape	77	377	0.0049	0.0262	1	75.6	0	0
bonobo.kruskal	Dialister	captive_bonobo	wild_bonobo	9	69	0.0024	0.0576	1	21.8	0	0.002
chimp.kruskal	Dialister	captive_chimp	wild_chimp	25	132	0.0012	0.0193	1	46.4	0	0
gorilla.kruskal	Dialister	captive_gorilla	wild_gorilla	21	176	0.006	0.0191	1	9.4	0.002	1
cp_wd.kruskal	Subdoligranulum	captive_ape	wild_ape	77	377	0.0103	0.0073	1	24.2	0	0.001
bonobo.kruskal	Subdoligranulum	captive_bonobo	wild_bonobo	9	69	0.0077	0.0084	1	0.5	0.496	1
chimp.kruskal	Subdoligranulum	captive_chimp	wild_chimp	25	132	0.0175	0.0091	1	14.6	0	0.108
gorilla.kruskal	Subdoligranulum	captive_gorilla	wild_gorilla	21	176	0.0064	0.0055	1	18	0	0.018
cp_wd.kruskal	Rhodococcus	captive_ape	wild_ape	77	377	0	4e-04	1	2.7	0.099	1
bonobo.kruskal	Rhodococcus	captive_bonobo	wild_bonobo	9	69	0	0.0021	1	0.3	0.607	1
chimp.kruskal	Rhodococcus	captive_chimp	wild_chimp	25	132	0	0	1	0.2	0.663	1
gorilla.kruskal	Rhodococcus	captive_gorilla	wild_gorilla	21	176	0	1e-04	1	1.2	0.264	1
cp_wd.kruskal	Methanobrevibacter	captive_ape	wild_ape	77	377	0.0055	0.0101	1	34.6	0	0
bonobo.kruskal	Methanobrevibacter	captive_bonobo	wild_bonobo	9	69	0.0018	0.014	1	9.4	0.002	1
chimp.kruskal	Methanobrevibacter	captive_chimp	wild_chimp	25	132	0.0019	0.0144	1	29.5	0	0
