comparison	Genus	group1	group2	group1_n	group2_n	group1_mean	group2_mean	df	statistic	p	p_adj_bonferroni
chimp.kruskal	Lachnoclostridium	captive_chimp	wild_chimp	25	132	2e-04	0.0035	1	39.8	0	0
gorilla.kruskal	Lachnoclostridium	captive_gorilla	wild_gorilla	21	176	1e-04	1e-04	1	6.1	0.013	1
cp_wd.kruskal	Prevotellaceae_NK3B31_group	captive_ape	wild_ape	77	377	0.002	8e-04	1	47	0	0
bonobo.kruskal	Prevotellaceae_NK3B31_group	captive_bonobo	wild_bonobo	9	69	0.0012	0.0019	1	0.2	0.633	1
chimp.kruskal	Prevotellaceae_NK3B31_group	captive_chimp	wild_chimp	25	132	0.0021	0.0013	1	16.8	0	0.033
gorilla.kruskal	Prevotellaceae_NK3B31_group	captive_gorilla	wild_gorilla	21	176	0.0015	0	1	144.9	0	0
cp_wd.kruskal	Tyzzerella_4	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Tyzzerella_4	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Tyzzerella_4	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Tyzzerella_4	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Gemmobacter	captive_ape	wild_ape	77	377	0	0.002	1	22.5	0	0.002
bonobo.kruskal	Gemmobacter	captive_bonobo	wild_bonobo	9	69	0	3e-04	1	0.4	0.526	1
chimp.kruskal	Gemmobacter	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Gemmobacter	captive_gorilla	wild_gorilla	21	176	0	0.0042	1	16.6	0	0.038
cp_wd.kruskal	Solibacillus	captive_ape	wild_ape	77	377	0	0.0032	1	27.9	0	0
bonobo.kruskal	Solibacillus	captive_bonobo	wild_bonobo	9	69	0	2e-04	1	0.7	0.407	1
chimp.kruskal	Solibacillus	captive_chimp	wild_chimp	25	132	0	0	1	0.4	0.537	1
gorilla.kruskal	Solibacillus	captive_gorilla	wild_gorilla	21	176	0	0.0067	1	20.5	0	0.005
cp_wd.kruskal	Tissierella	captive_ape	wild_ape	77	377	0	2e-04	1	2.9	0.086	1
bonobo.kruskal	Tissierella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Tissierella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Tissierella	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	1.8	0.181	1
cp_wd.kruskal	Parasutterella	captive_ape	wild_ape	77	377	6e-04	0	1	44.9	0	0
bonobo.kruskal	Parasutterella	captive_bonobo	wild_bonobo	9	69	0.0041	0	1	31.9	0	0
chimp.kruskal	Parasutterella	captive_chimp	wild_chimp	25	132	1e-04	0	1	21.5	0	0.003
gorilla.kruskal	Parasutterella	captive_gorilla	wild_gorilla	21	176	3e-04	0	1	8.4	0.004	1
cp_wd.kruskal	Butyrivibrio	captive_ape	wild_ape	77	377	3e-04	0	1	29.8	0	0
bonobo.kruskal	Butyrivibrio	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Butyrivibrio	captive_chimp	wild_chimp	25	132	0	0	1	0.3	0.598	1
gorilla.kruskal	Butyrivibrio	captive_gorilla	wild_gorilla	21	176	9e-04	0	1	60.5	0	0
cp_wd.kruskal	Desulfovibrio	captive_ape	wild_ape	77	377	0.0078	0.0033	1	24.6	0	0.001
bonobo.kruskal	Desulfovibrio	captive_bonobo	wild_bonobo	9	69	0.0099	0.0056	1	6.2	0.013	1
chimp.kruskal	Desulfovibrio	captive_chimp	wild_chimp	25	132	0.0044	0.0028	1	0.1	0.75	1
gorilla.kruskal	Desulfovibrio	captive_gorilla	wild_gorilla	21	176	0.0089	0.0027	1	27.7	0	0
cp_wd.kruskal	Turicibacter	captive_ape	wild_ape	77	377	0	0	1	19.7	0	0.007
bonobo.kruskal	Turicibacter	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Turicibacter	captive_chimp	wild_chimp	25	132	0	0	1	5.3	0.022	1
gorilla.kruskal	Turicibacter	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Lachnospiraceae_AC2044_group	captive_ape	wild_ape	77	377	0.0041	5e-04	1	68.1	0	0
bonobo.kruskal	Lachnospiraceae_AC2044_group	captive_bonobo	wild_bonobo	9	69	0.004	1e-04	1	36.1	0	0
chimp.kruskal	Lachnospiraceae_AC2044_group	captive_chimp	wild_chimp	25	132	0.0017	5e-04	1	23.9	0	0.001
gorilla.kruskal	Lachnospiraceae_AC2044_group	captive_gorilla	wild_gorilla	21	176	0.0016	5e-04	1	3.9	0.049	1
cp_wd.kruskal	Butyricicoccus	captive_ape	wild_ape	77	377	5e-04	0.0026	1	12.3	0	0.358
bonobo.kruskal	Butyricicoccus	captive_bonobo	wild_bonobo	9	69	3e-04	0.0049	1	11.4	0.001	0.605
chimp.kruskal	Butyricicoccus	captive_chimp	wild_chimp	25	132	3e-04	0.0045	1	40.1	0	0
gorilla.kruskal	Butyricicoccus	captive_gorilla	wild_gorilla	21	176	3e-04	3e-04	1	7.3	0.007	1
cp_wd.kruskal	Sphingorhabdus	captive_ape	wild_ape	77	377	0	2e-04	1	3.8	0.051	1
bonobo.kruskal	Sphingorhabdus	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Sphingorhabdus	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Sphingorhabdus	captive_gorilla	wild_gorilla	21	176	0	5e-04	1	2.3	0.126	1
cp_wd.kruskal	Oscillospira	captive_ape	wild_ape	77	377	0.0016	0	1	190.3	0	0
bonobo.kruskal	Oscillospira	captive_bonobo	wild_bonobo	9	69	0.0036	0	1	76.6	0	0
chimp.kruskal	Oscillospira	captive_chimp	wild_chimp	25	132	8e-04	0	1	46.9	0	0
gorilla.kruskal	Oscillospira	captive_gorilla	wild_gorilla	21	176	0.0016	0	1	106.4	0	0
cp_wd.kruskal	Cellulosilyticum	captive_ape	wild_ape	77	377	8e-04	1e-04	1	81.1	0	0
bonobo.kruskal	Cellulosilyticum	captive_bonobo	wild_bonobo	9	69	1e-04	0	1	15.5	0	0.065
chimp.kruskal	Cellulosilyticum	captive_chimp	wild_chimp	25	132	2e-04	3e-04	1	25.3	0	0
gorilla.kruskal	Cellulosilyticum	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Family_XIII_AD3011_group	captive_ape	wild_ape	77	377	4e-04	0.0052	1	126.8	0	0
bonobo.kruskal	Family_XIII_AD3011_group	captive_bonobo	wild_bonobo	9	69	1e-04	0.0038	1	21.4	0	0.003
chimp.kruskal	Family_XIII_AD3011_group	captive_chimp	wild_chimp	25	132	6e-04	0.0042	1	35.7	0	0
gorilla.kruskal	Family_XIII_AD3011_group	captive_gorilla	wild_gorilla	21	176	2e-04	0.0065	1	44.9	0	0
cp_wd.kruskal	Terrisporobacter	captive_ape	wild_ape	77	377	0.0027	0	1	189.7	0	0
bonobo.kruskal	Terrisporobacter	captive_bonobo	wild_bonobo	9	69	4e-04	0	1	31.9	0	0
chimp.kruskal	Terrisporobacter	captive_chimp	wild_chimp	25	132	0.0018	0	1	86.5	0	0
gorilla.kruskal	Terrisporobacter	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Haemophilus	captive_ape	wild_ape	77	377	0	0	1	0.6	0.425	1
bonobo.kruskal	Haemophilus	captive_bonobo	wild_bonobo	9	69	1e-04	0	1	7.7	0.006	1
chimp.kruskal	Haemophilus	captive_chimp	wild_chimp	25	132	0	1e-04	1	3.8	0.051	1
gorilla.kruskal	Haemophilus	captive_gorilla	wild_gorilla	21	176	0	0	1	0	0.911	1
cp_wd.kruskal	Family_XIII_UCG-001	captive_ape	wild_ape	77	377	2e-04	0.001	1	9.9	0.002	1
bonobo.kruskal	Family_XIII_UCG-001	captive_bonobo	wild_bonobo	9	69	3e-04	1e-04	1	7.3	0.007	1
chimp.kruskal	Family_XIII_UCG-001	captive_chimp	wild_chimp	25	132	2e-04	0.0017	1	32.1	0	0
gorilla.kruskal	Family_XIII_UCG-001	captive_gorilla	wild_gorilla	21	176	2e-04	9e-04	1	0	0.871	1
cp_wd.kruskal	Coprococcus_3	captive_ape	wild_ape	77	377	0.0013	3e-04	1	40	0	0
bonobo.kruskal	Coprococcus_3	captive_bonobo	wild_bonobo	9	69	0.0035	3e-04	1	17.2	0	0.027
chimp.kruskal	Coprococcus_3	captive_chimp	wild_chimp	25	132	0.001	7e-04	1	5.7	0.017	1
gorilla.kruskal	Coprococcus_3	captive_gorilla	wild_gorilla	21	176	9e-04	0	1	61.3	0	0
cp_wd.kruskal	Coprobacter	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Coprobacter	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Coprobacter	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Coprobacter	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Prevotellaceae_UCG-004	captive_ape	wild_ape	77	377	0.0033	0.0022	1	42.8	0	0
bonobo.kruskal	Prevotellaceae_UCG-004	captive_bonobo	wild_bonobo	9	69	0.0027	0	1	59.8	0	0
chimp.kruskal	Prevotellaceae_UCG-004	captive_chimp	wild_chimp	25	132	0.0017	7e-04	1	20.2	0	0.006
gorilla.kruskal	Prevotellaceae_UCG-004	captive_gorilla	wild_gorilla	21	176	0.0036	0.0042	1	2.9	0.09	1
cp_wd.kruskal	BD1-7_clade	captive_ape	wild_ape	77	377	0	2e-04	1	3.2	0.076	1
bonobo.kruskal	BD1-7_clade	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	BD1-7_clade	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	BD1-7_clade	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	1.9	0.165	1
cp_wd.kruskal	Timonella	captive_ape	wild_ape	77	377	0	0.0019	1	24	0	0.001
bonobo.kruskal	Timonella	captive_bonobo	wild_bonobo	9	69	0	3e-04	1	0.3	0.607	1
chimp.kruskal	Timonella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Timonella	captive_gorilla	wild_gorilla	21	176	0	0.0041	1	18.3	0	0.015
cp_wd.kruskal	CAG-56	captive_ape	wild_ape	77	377	0	0	1	0.3	0.567	1
bonobo.kruskal	CAG-56	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	CAG-56	captive_chimp	wild_chimp	25	132	0	1e-04	1	4.3	0.038	1
gorilla.kruskal	CAG-56	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.73	1
cp_wd.kruskal	Leadbetterella	captive_ape	wild_ape	77	377	0	0.0015	1	19.5	0	0.008
bonobo.kruskal	Leadbetterella	captive_bonobo	wild_bonobo	9	69	0	2e-04	1	0.4	0.526	1
chimp.kruskal	Leadbetterella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Leadbetterella	captive_gorilla	wild_gorilla	21	176	0	0.0031	1	13.8	0	0.159
cp_wd.kruskal	Caulobacter	captive_ape	wild_ape	77	377	0	1e-04	1	1.4	0.229	1
bonobo.kruskal	Caulobacter	captive_bonobo	wild_bonobo	9	69	0	0	1	0.1	0.718	1
chimp.kruskal	Caulobacter	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Caulobacter	captive_gorilla	wild_gorilla	21	176	0	2e-04	1	0.7	0.391	1
cp_wd.kruskal	dgA-11_gut_group	captive_ape	wild_ape	77	377	0.0014	0.0012	1	0	0.964	1
bonobo.kruskal	dgA-11_gut_group	captive_bonobo	wild_bonobo	9	69	9e-04	0.0014	1	0.2	0.695	1
chimp.kruskal	dgA-11_gut_group	captive_chimp	wild_chimp	25	132	1e-04	0.0028	1	31.1	0	0
gorilla.kruskal	dgA-11_gut_group	captive_gorilla	wild_gorilla	21	176	3e-04	0	1	60.5	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-013	captive_ape	wild_ape	77	377	4e-04	8e-04	1	2.2	0.136	1
bonobo.kruskal	Ruminococcaceae_UCG-013	captive_bonobo	wild_bonobo	9	69	1e-04	0.0016	1	11.9	0.001	0.461
chimp.kruskal	Ruminococcaceae_UCG-013	captive_chimp	wild_chimp	25	132	3e-04	0.001	1	9.6	0.002	1
gorilla.kruskal	Ruminococcaceae_UCG-013	captive_gorilla	wild_gorilla	21	176	4e-04	3e-04	1	2.8	0.094	1
cp_wd.kruskal	DTU089	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	DTU089	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	DTU089	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	DTU089	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Tyzzerella_3	captive_ape	wild_ape	77	377	0	3e-04	1	12.7	0	0.297
bonobo.kruskal	Tyzzerella_3	captive_bonobo	wild_bonobo	9	69	0	0.0015	1	10.9	0.001	0.792
chimp.kruskal	Tyzzerella_3	captive_chimp	wild_chimp	25	132	0	1e-04	1	2	0.157	1
gorilla.kruskal	Tyzzerella_3	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Campylobacter	captive_ape	wild_ape	77	377	3e-04	0	1	49.9	0	0
bonobo.kruskal	Campylobacter	captive_bonobo	wild_bonobo	9	69	3e-04	0	1	23.6	0	0.001
chimp.kruskal	Campylobacter	captive_chimp	wild_chimp	25	132	1e-04	0	1	10.6	0.001	0.892
gorilla.kruskal	Campylobacter	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Marvinbryantia	captive_ape	wild_ape	77	377	0.0016	0.0016	1	28.1	0	0
bonobo.kruskal	Marvinbryantia	captive_bonobo	wild_bonobo	9	69	0.0038	0	1	60.3	0	0
chimp.kruskal	Marvinbryantia	captive_chimp	wild_chimp	25	132	0.0013	0.0046	1	23.7	0	0.001
gorilla.kruskal	Marvinbryantia	captive_gorilla	wild_gorilla	21	176	0.0016	0	1	169	0	0
cp_wd.kruskal	Caryophanon	captive_ape	wild_ape	77	377	0	0.0014	1	16.7	0	0.035
bonobo.kruskal	Caryophanon	captive_bonobo	wild_bonobo	9	69	0	1e-04	1	0.3	0.607	1
chimp.kruskal	Caryophanon	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Caryophanon	captive_gorilla	wild_gorilla	21	176	0	0.003	1	11.6	0.001	0.523
cp_wd.kruskal	Ruminiclostridium_9	captive_ape	wild_ape	77	377	0	0.0012	1	90.2	0	0
bonobo.kruskal	Ruminiclostridium_9	captive_bonobo	wild_bonobo	9	69	0	0.0015	1	18.1	0	0.017
chimp.kruskal	Ruminiclostridium_9	captive_chimp	wild_chimp	25	132	0	6e-04	1	30.5	0	0
gorilla.kruskal	Ruminiclostridium_9	captive_gorilla	wild_gorilla	21	176	0	0.0016	1	19.9	0	0.007
cp_wd.kruskal	Erysipelotrichaceae_UCG-006	captive_ape	wild_ape	77	377	0	0.0031	1	114.6	0	0
bonobo.kruskal	Erysipelotrichaceae_UCG-006	captive_bonobo	wild_bonobo	9	69	0	0.0049	1	21.7	0	0.003
chimp.kruskal	Erysipelotrichaceae_UCG-006	captive_chimp	wild_chimp	25	132	0	0.0054	1	61.1	0	0
gorilla.kruskal	Erysipelotrichaceae_UCG-006	captive_gorilla	wild_gorilla	21	176	0	6e-04	1	16.9	0	0.032
cp_wd.kruskal	Corynebacterium_1	captive_ape	wild_ape	77	377	0	5e-04	1	21.3	0	0.003
bonobo.kruskal	Corynebacterium_1	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Corynebacterium_1	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Corynebacterium_1	captive_gorilla	wild_gorilla	21	176	0	0.0011	1	16.3	0	0.044
cp_wd.kruskal	Arcobacter	captive_ape	wild_ape	77	377	0	4e-04	1	9.9	0.002	1
bonobo.kruskal	Arcobacter	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Arcobacter	captive_chimp	wild_chimp	25	132	0	0.0011	1	10.5	0.001	0.989
gorilla.kruskal	Arcobacter	captive_gorilla	wild_gorilla	21	176	0	0	1	0.2	0.624	1
cp_wd.kruskal	Odoribacter	captive_ape	wild_ape	77	377	0	0	1	0.4	0.53	1
bonobo.kruskal	Odoribacter	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Odoribacter	captive_chimp	wild_chimp	25	132	0	0	1	1.2	0.279	1
gorilla.kruskal	Odoribacter	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Oceanobacter	captive_ape	wild_ape	77	377	0	4e-04	1	6.3	0.012	1
bonobo.kruskal	Oceanobacter	captive_bonobo	wild_bonobo	9	69	0	0	1	0.1	0.718	1
chimp.kruskal	Oceanobacter	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Oceanobacter	captive_gorilla	wild_gorilla	21	176	0	8e-04	1	3.8	0.05	1
cp_wd.kruskal	Aquabacterium	captive_ape	wild_ape	77	377	0	2e-04	1	4	0.044	1
bonobo.kruskal	Aquabacterium	captive_bonobo	wild_bonobo	9	69	0	1e-04	1	0.1	0.718	1
chimp.kruskal	Aquabacterium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Aquabacterium	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	2.3	0.126	1
cp_wd.kruskal	Prevotellaceae_UCG-003	captive_ape	wild_ape	77	377	0.0075	0	1	360.2	0	0
bonobo.kruskal	Prevotellaceae_UCG-003	captive_bonobo	wild_bonobo	9	69	0.0131	0	1	76.6	0	0
chimp.kruskal	Prevotellaceae_UCG-003	captive_chimp	wild_chimp	25	132	0.0085	0	1	125.1	0	0
gorilla.kruskal	Prevotellaceae_UCG-003	captive_gorilla	wild_gorilla	21	176	0.0073	0	1	164.7	0	0
cp_wd.kruskal	Ruminococcaceae_UCG-010	captive_ape	wild_ape	77	377	0.0136	0.0024	1	111.3	0	0
bonobo.kruskal	Ruminococcaceae_UCG-010	captive_bonobo	wild_bonobo	9	69	0.0153	0.0017	1	21.7	0	0.003
chimp.kruskal	Ruminococcaceae_UCG-010	captive_chimp	wild_chimp	25	132	0.0076	0.0039	1	5.2	0.023	1
gorilla.kruskal	Ruminococcaceae_UCG-010	captive_gorilla	wild_gorilla	21	176	0.0169	0.0016	1	53.2	0	0
cp_wd.kruskal	Hafnia-Obesumbacterium	captive_ape	wild_ape	77	377	0	0	NA	NA	NA	NA
bonobo.kruskal	Hafnia-Obesumbacterium	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Hafnia-Obesumbacterium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Hafnia-Obesumbacterium	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Perlucidibaca	captive_ape	wild_ape	77	377	0	2e-04	1	6.3	0.012	1
bonobo.kruskal	Perlucidibaca	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Perlucidibaca	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Perlucidibaca	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	4	0.045	1
cp_wd.kruskal	Aeromicrobium	captive_ape	wild_ape	77	377	0	1e-04	1	5.2	0.023	1
bonobo.kruskal	Aeromicrobium	captive_bonobo	wild_bonobo	9	69	0	0	1	0.1	0.718	1
chimp.kruskal	Aeromicrobium	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Aeromicrobium	captive_gorilla	wild_gorilla	21	176	0	3e-04	1	3.1	0.08	1
cp_wd.kruskal	Citrobacter	captive_ape	wild_ape	77	377	0	0	1	2.3	0.13	1
bonobo.kruskal	Citrobacter	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Citrobacter	captive_chimp	wild_chimp	25	132	0	0	1	0.8	0.38	1
gorilla.kruskal	Citrobacter	captive_gorilla	wild_gorilla	21	176	0	1e-04	1	0.9	0.353	1
cp_wd.kruskal	Sphingomonas	captive_ape	wild_ape	77	377	0	1e-04	1	4.3	0.039	1
bonobo.kruskal	Sphingomonas	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Sphingomonas	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Sphingomonas	captive_gorilla	wild_gorilla	21	176	0	3e-04	1	2.6	0.105	1
cp_wd.kruskal	Taibaiella	captive_ape	wild_ape	77	377	0	0.0013	1	17.3	0	0.026
bonobo.kruskal	Taibaiella	captive_bonobo	wild_bonobo	9	69	0	4e-04	1	0.4	0.526	1
chimp.kruskal	Taibaiella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Taibaiella	captive_gorilla	wild_gorilla	21	176	0	0.0026	1	11.9	0.001	0.461
cp_wd.kruskal	Methanocorpusculum	captive_ape	wild_ape	77	377	0.0012	0	1	39.8	0	0
bonobo.kruskal	Methanocorpusculum	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Methanocorpusculum	captive_chimp	wild_chimp	25	132	0.002	0	1	21.5	0	0.003
gorilla.kruskal	Methanocorpusculum	captive_gorilla	wild_gorilla	21	176	0.002	0	1	34	0	0
cp_wd.kruskal	Methanosphaera	captive_ape	wild_ape	77	377	0.0016	3e-04	1	51.9	0	0
bonobo.kruskal	Methanosphaera	captive_bonobo	wild_bonobo	9	69	1e-04	5e-04	1	0.5	0.499	1
chimp.kruskal	Methanosphaera	captive_chimp	wild_chimp	25	132	4e-04	7e-04	1	3.8	0.052	1
gorilla.kruskal	Methanosphaera	captive_gorilla	wild_gorilla	21	176	0.0013	0	1	42.8	0	0
cp_wd.kruskal	Vitreoscilla	captive_ape	wild_ape	77	377	0	4e-04	1	16.7	0	0.035
bonobo.kruskal	Vitreoscilla	captive_bonobo	wild_bonobo	9	69	0	0	1	0.3	0.607	1
chimp.kruskal	Vitreoscilla	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Vitreoscilla	captive_gorilla	wild_gorilla	21	176	0	9e-04	1	11.6	0.001	0.523
cp_wd.kruskal	Asteroleplasma	captive_ape	wild_ape	77	377	0	9e-04	1	51.5	0	0
bonobo.kruskal	Asteroleplasma	captive_bonobo	wild_bonobo	9	69	0	0.0023	1	19.2	0	0.009
chimp.kruskal	Asteroleplasma	captive_chimp	wild_chimp	25	132	0	0.0015	1	43.3	0	0
gorilla.kruskal	Asteroleplasma	captive_gorilla	wild_gorilla	21	176	0	0	NA	NA	NA	NA
cp_wd.kruskal	Fluviicola	captive_ape	wild_ape	77	377	0	0.001	1	15.6	0	0.063
bonobo.kruskal	Fluviicola	captive_bonobo	wild_bonobo	9	69	0	0	1	0.4	0.526	1
chimp.kruskal	Fluviicola	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Fluviicola	captive_gorilla	wild_gorilla	21	176	0	0.002	1	10.5	0.001	0.973
cp_wd.kruskal	Fournierella	captive_ape	wild_ape	77	377	0.0047	0	1	393.9	0	0
bonobo.kruskal	Fournierella	captive_bonobo	wild_bonobo	9	69	0.01	0	1	76.6	0	0
chimp.kruskal	Fournierella	captive_chimp	wild_chimp	25	132	0.004	0	1	147.3	0	0
gorilla.kruskal	Fournierella	captive_gorilla	wild_gorilla	21	176	0.0042	0	1	184.9	0	0
cp_wd.kruskal	Pseudobutyrivibrio	captive_ape	wild_ape	77	377	0	7e-04	1	18.7	0	0.012
bonobo.kruskal	Pseudobutyrivibrio	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Pseudobutyrivibrio	captive_chimp	wild_chimp	25	132	0	0.0016	1	17.3	0	0.025
gorilla.kruskal	Pseudobutyrivibrio	captive_gorilla	wild_gorilla	21	176	0	4e-04	1	2.1	0.151	1
cp_wd.kruskal	Anaerosporobacter	captive_ape	wild_ape	77	377	1e-04	0	1	3.8	0.052	1
bonobo.kruskal	Anaerosporobacter	captive_bonobo	wild_bonobo	9	69	3e-04	0	1	23.6	0	0.001
chimp.kruskal	Anaerosporobacter	captive_chimp	wild_chimp	25	132	1e-04	0	1	0.6	0.439	1
gorilla.kruskal	Anaerosporobacter	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.767	1
cp_wd.kruskal	Prevotella	captive_ape	wild_ape	77	377	4e-04	0	1	44.9	0	0
bonobo.kruskal	Prevotella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Prevotella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Prevotella	captive_gorilla	wild_gorilla	21	176	0.0011	0	1	42.8	0	0
cp_wd.kruskal	Lachnospiraceae_FCS020_group	captive_ape	wild_ape	77	377	0	2e-04	1	3.8	0.051	1
bonobo.kruskal	Lachnospiraceae_FCS020_group	captive_bonobo	wild_bonobo	9	69	0	0.0013	1	2.7	0.098	1
chimp.kruskal	Lachnospiraceae_FCS020_group	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Lachnospiraceae_FCS020_group	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.73	1
cp_wd.kruskal	UBA1819	captive_ape	wild_ape	77	377	1e-04	0	1	0.1	0.768	1
bonobo.kruskal	UBA1819	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	UBA1819	captive_chimp	wild_chimp	25	132	0	1e-04	1	3.3	0.068	1
gorilla.kruskal	UBA1819	captive_gorilla	wild_gorilla	21	176	0	0	1	0.1	0.73	1
cp_wd.kruskal	Niabella	captive_ape	wild_ape	77	377	0	1e-04	1	1.7	0.198	1
bonobo.kruskal	Niabella	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
chimp.kruskal	Niabella	captive_chimp	wild_chimp	25	132	0	0	NA	NA	NA	NA
gorilla.kruskal	Niabella	captive_gorilla	wild_gorilla	21	176	0	2e-04	1	1	0.32	1
cp_wd.kruskal	Shuttleworthia	captive_ape	wild_ape	77	377	9e-04	0	1	172.3	0	0
bonobo.kruskal	Shuttleworthia	captive_bonobo	wild_bonobo	9	69	1e-04	0	1	23.6	0	0.001
chimp.kruskal	Shuttleworthia	captive_chimp	wild_chimp	25	132	5e-04	1e-04	1	31.4	0	0
gorilla.kruskal	Shuttleworthia	captive_gorilla	wild_gorilla	21	176	0.001	0	1	154.7	0	0
cp_wd.kruskal	Anaerocolumna	captive_ape	wild_ape	77	377	0	2e-04	1	9.4	0.002	1
bonobo.kruskal	Anaerocolumna	captive_bonobo	wild_bonobo	9	69	0	0	NA	NA	NA	NA
