#SampleID	Old_SampleID	dataset	genus_sp	subspecies	common_name	uniqueid	site	site_code	country	country_zoo	captivity_status	captivity_status_ext	amplicon	sample	Description
cp.bon.COLZ.7.16s	COL.Bonobo07	this_study	Pan_paniscus	Pan_paniscus	bonobo	7	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.7	captive_bonobo
cp.bon.COLZ.8.16s	COL.Bonobo08	this_study	Pan_paniscus	Pan_paniscus	bonobo	8	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.8	captive_bonobo
cp.bon.COLZ.9.16s	COL.Bonobo09	this_study	Pan_paniscus	Pan_paniscus	bonobo	9	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.bon.COLZ.9	captive_bonobo
cp.gor.COLZ.1.16s	COL.Gorilla01	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	1	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.1	captive_gorilla
cp.gor.COLZ.10.16s	COL.Gorilla10	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	10	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.10	captive_gorilla
cp.gor.COLZ.11.16s	COL.Gorilla11	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	11	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.11	captive_gorilla
cp.gor.COLZ.12.16s	COL.Gorilla12	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	12	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.12	captive_gorilla
cp.gor.COLZ.13.16s	COL.Gorilla13	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	13	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.13	captive_gorilla
cp.gor.COLZ.2.16s	COL.Gorilla02	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	2	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.2	captive_gorilla
cp.gor.COLZ.3.16s	COL.Gorilla03	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	3	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.3	captive_gorilla
cp.gor.COLZ.4.16s	COL.Gorilla04	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	4	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.4	captive_gorilla
cp.gor.COLZ.5.16s	COL.Gorilla05	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	5	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.5	captive_gorilla
cp.gor.COLZ.6.16s	COL.Gorilla06	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	6	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.6	captive_gorilla
cp.gor.COLZ.7.16s	COL.Gorilla07	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	7	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.7	captive_gorilla
cp.gor.COLZ.8.16s	COL.Gorilla08	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	8	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.8	captive_gorilla
cp.gor.COLZ.9.16s	COL.Gorilla09	this_study	Gorilla_gorilla	Gorilla_gorilla_gorilla	western_lowland_gorilla	9	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.gor.COLZ.9	captive_gorilla
cp.ora.COLZ.1.16s	COL.Orang01	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	1	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.ora.COLZ.1	captive_orangutan
cp.ora.COLZ.2.16s	COL.Orang02	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	2	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.ora.COLZ.2	captive_orangutan
cp.ora.COLZ.3.16s	COL.Orang03	this_study	Pongo_undetermined	Pongo_undetermined	orangutan	3	columbus_zoo	COLZ	USA	USA_ColumbusZoo	captive	captive	16s	cp.ora.COLZ.3	captive_orangutan
